x,y,z
0.428045,2.35251,-6.74038
0.664822,2.87726,-6.28734
0.712013,3.09104,-6.49562
0.9174,3.20712,-6.8095
1.22929,3.14924,-7.14269
1.55238,2.94269,-7.37113
1.90362,2.70226,-6.87141
2.08314,2.41003,-6.85415
2.14628,2.11101,-6.839
2.11186,1.81658,-6.89019
2.00361,1.45984,-7.05247
2.23038,0.960693,-7.24005
2.28436,0.405876,-7.24658
2.26554,-0.243962,-7.10871
2.13362,-0.886579,-6.77035
1.87215,-1.37754,-6.21616
1.48273,-1.54826,-5.52162
1.03047,-1.28511,-4.88017
0.667825,-0.649052,-4.53472
0.536302,0.0793844,-4.60901
0.671839,0.596461,-5.04105
0.917433,0.739385,-5.59484
1.1456,0.552597,-6.09005
1.22219,0.226051,-6.37224
1.17945,0.0316366,-6.57712
1.20406,-0.0724144,-6.95795
1.41201,-0.408356,-7.47407
1.76916,-0.697658,-7.70419
1.99603,-1.14841,-7.93623
2.16518,-1.91951,-8.08484
1.98665,-1.40794,-8.2146
1.68681,-1.64257,-7.96339
1.4478,-1.76811,-7.70727
1.23743,-1.88426,-7.4327
1.00199,-1.93617,-7.01525
0.655152,-1.57239,-6.53536
0.171806,-0.671672,-6.38752
0.136189,0.26159,-6.74305
0.164097,0.970071,-7.58948
0.821783,1.16348,-8.55175
1.49924,0.701851,-9.6242
1.2592,2.43353,-9.1099
1.21513,2.1635,-9.48412
1.16685,1.99212,-9.93154
1.07812,2.13414,-10.2573
1.20955,2.20272,-10.3343
1.29146,1.78776,-10.4633
1.42076,1.3605,-10.6147
1.56676,0.895861,-10.6773
1.82282,0.63816,-10.9921
2.06632,-0.0479564,-10.8945
2.30987,-0.749861,-10.5875
2.52925,-1.38034,-10.0334
2.68862,-1.80643,-9.24056
2.70849,-1.8713,-8.30635
2.63579,-1.57483,-7.39553
2.32791,-0.920429,-6.82814
2.09349,-0.251569,-6.51379
1.82258,0.51652,-6.54685
1.54167,1.21794,-6.93958
1.19659,1.6621,-7.59792
1.10361,2.05762,-8.47558
0.952528,2.06885,-9.5699
0.905656,1.67656,-10.788
0.984528,0.765011,-11.9536
1.21761,-0.678449,-12.7641
1.531,-2.48821,-12.9169
1.84762,-4.32901,-12.2158
2.052,-5.8667,-10.721
2.18311,-6.36129,-8.56326
2.09055,-5.69884,-6.41405
1.80986,-3.9653,-4.97087
1.4474,-1.70613,-4.78825
1.16465,0.280229,-5.97293
1.09398,1.32149,-8.12038
1.12633,1.16717,-10.5793
-0.244324,2.35736,-9.71072
-0.265282,3.30543,-8.24231
-0.236807,3.81496,-7.85497
0.0151755,3.50642,-8.05084
0.0155388,4.02982,-7.78203
0.137417,3.91366,-7.82186
0.160444,3.87119,-7.80891
0.0570352,3.79291,-7.64649
0.0875435,3.74734,-7.64874
0.0794738,3.71279,-7.68161
0.0392752,3.65549,-7.76683
-0.0122019,3.53277,-7.89414
-0.0667332,3.32253,-7.98527
-0.0607127,3.0673,-8.08791
-0.0135847,2.8085,-8.13831
0.0343603,2.57826,-8.1525
0.0416796,2.37422,-8.1355
-0.000690843,2.18812,-8.0995
-0.0794916,1.99282,-8.07087
-0.145736,1.75912,-8.03469
-0.128841,1.52751,-7.98844
-0.0153639,1.29152,-7.97289
0.167152,1.01842,-7.94413
0.375645,0.776994,-7.82613
0.495837,0.615212,-7.61357
0.315799,0.788421,-7.11832
0.200905,1.05464,-7.08176
0.0969735,1.29898,-7.30943
0.0290804,1.3418,-7.86162
-0.00518541,0.898732,-8.47708
-0.00108397,0.124347,-8.69323
-0.0146561,-0.52487,-8.41458
-0.0820666,-0.786387,-8.01037
-0.124074,-0.912523,-7.76055
