x,y,z
-0.207627,0.0502894,-0.317265
-0.185579,0.011835,-0.270016
-0.162461,0.0457356,-0.213279
-0.139086,-0.00311125,-0.232234
-0.124408,-0.0434475,-0.235287
-0.227244,0.00759946,-0.0930641
-0.186024,0.0141989,0.0399408
-0.287406,-0.00793317,0.0153929
-0.318105,-0.00890888,0.0298329
-0.333406,-0.00738805,0.0505343
-0.359612,-0.0145276,0.0746411
-0.367226,-0.0192017,0.101246
-0.326092,-0.0247327,0.136251
-0.300946,-0.0358165,0.159133
-0.309109,-0.0575475,0.155737
-0.320501,-0.058918,0.184232
-0.341015,-0.0837363,0.196785
-0.360533,-0.0994222,0.214012
-0.383203,-0.104861,0.22786
-0.400015,-0.12884,0.234554
-0.413382,-0.15339,0.239347
-0.422986,-0.179106,0.246272
-0.433147,-0.206366,0.252367
-0.436301,-0.240636,0.251456
-0.444541,-0.274894,0.24445
-0.440637,-0.314316,0.241763
-0.43815,-0.355649,0.234831
-0.432289,-0.401456,0.219718
-0.460238,-0.440002,0.220269
-0.462382,-0.480537,0.241866
-0.463169,-0.524697,0.239645
-0.494866,-0.0171859,0.316861
-0.482778,0.00434656,0.353551
-0.475419,-0.0295083,0.376468
-0.475463,0.00252106,0.399383
-0.472495,0.000437165,0.418501
-0.467709,0.00262067,0.426701
-0.455672,0.00401046,0.441527
-0.460017,0.00451558,0.465025
-0.461697,0.000754857,0.480803
-0.462992,0.000112794,0.499635
-0.4636,0.0037314,0.520154
-0.454125,0.000639874,0.541569
-0.458104,0.00396613,0.56185
-0.463403,0.00260211,0.598791
-0.470591,0.00326565,0.626019
-0.483522,0.00385564,0.66597
-0.512167,0.582212,0.571738
-0.53339,0.543258,0.638213
-0.459844,0.453401,0.681562
-0.497868,0.445506,0.723614
-0.514913,0.380871,0.78119
-0.522932,0.349067,0.864475
-0.503677,0.308784,0.968544
-0.536836,0.222774,1.1184
-0.57308,0.31445,1.05335
-0.575399,0.205915,1.06851
-0.59991,0.105892,1.08111
-0.60787,0.00594206,1.10055
-0.639996,-0.0180047,1.0933
-0.669927,-0.0695555,1.10251
-0.703398,0.909904,0.616128
-0.721846,0.813083,0.629408
-0.726107,0.776691,0.63342
-0.74547,0.947004,0.530959
-0.788404,0.979055,0.505495
-0.791097,0.986511,0.480819
-0.749237,0.933282,0.436785
-0.768809,0.863121,0.44921
-0.702444,0.809284,0.474027
-0.617815,0.75931,0.416345
-0.544841,0.699431,0.419931
-0.484003,0.638723,0.436979
-0.421048,0.572257,0.448042
-0.352979,0.50742,0.458379
-0.298585,0.436634,0.478126
-0.234093,0.364101,0.493736
-0.185762,0.283525,0.518554
-0.131664,0.205159,0.540722
-0.0809589,0.118063,0.566543
-0.0268073,0.0313356,0.588595
0.00828957,-0.0698575,0.625028
0.0540797,-0.179502,0.644991
0.17015,0.0358098,0.498023
0.188618,0.0123444,0.489936
0.208165,-0.0135452,0.479889
0.1744,-0.0260126,0.402236
0.186375,-0.0822776,0.387841
0.19562,-0.11748,0.364128
0.214604,-0.133576,0.317831
0.190071,-0.0419879,0.210041
0.122521,-0.09126,0.175956
0.070453,-0.185091,0.140881
-0.0322151,-0.20661,0.0415357
-0.114998,-0.238765,-0.0206343
-0.186802,-0.295552,-0.0963202
-0.159936,-0.290645,-0.217126
-0.124514,-0.327816,-0.296215
-0.0894414,-0.380728,-0.358706
-0.0795871,-0.474036,-0.382002
-0.0675061,-0.547209,-0.428678
-0.0675174,-0.639719,-0.446394
-0.0711263,-0.729745,-0.459815
-0.0772321,-0.824802,-0.468952
-0.0770684,-0.908309,-0.485392
-0.0754649,-1.00273,-0.485146
-0.0920335,-1.06766,-0.50521
-0.0220354,-0.952826,-0.622484
-0.00209643,-0.988259,-0.676226
-0.0124828,-1.00007,-0.698173
-0.0413129,-1.04697,-0.671892
-0.0291743,0.055066,-0.59698
-0.0508682,-0.0198137,-0.532051
-0.0595614,-0.0446405,-0.440383
-0.0575603,-0.0174853,-0.336202
-0.0652373,0.00907618,-0.212156
0.000111319,-0.0482637,-0.0818365
-0.036622,-0.031611,-0.133118
-0.05998,-0.012254,-0.00317647
